ContigID,Type,Superkingdom,Realm,Kingdom,Phylum,Class,Order,Family,Isolate
CENOTE_META61467_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,CENOTE_META61467
CENOTE_META61467_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,CENOTE_META61467
CENOTE_META61876_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META61876
CENOTE_META662_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META662
CENOTE_META662_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Repensiviricetes,Geplafuvirales,Genomoviridae,CENOTE_META662
CENOTE_META6939_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 1,Unclassified family 1,Unclassified family 1,CENOTE_META6939
CENOTE_META6939_3_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 1,Unclassified family 1,Unclassified family 1,CENOTE_META6939
CENOTE_META6939_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 1,Unclassified family 1,Unclassified family 1,CENOTE_META6939
CENOTE_META7005_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META7005
CENOTE_META7005_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META7005
CENOTE_META8133_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META8133
CENOTE_META828_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META828
CENOTE_META892_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_META892
CENOTE_META9072_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,Unclassified family 3,Unclassified family 3,Unclassified family 3,CENOTE_META9072
CENOTE_META9327_2_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META9327
CENOTE_META9327_3_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META9327
CENOTE_META9327_rep,Rep,Viruses,Monodnaviria,Shotokuvirae,Cressdnaviricota,,,,CENOTE_META9327
